pair_id,source_effective_date,market,chanel_reference_code,chanel_product_name,chanel_family,chanel_bag_type,chanel_material_group,chanel_size_label,chanel_dimensions_cm,chanel_dimension_signature_cm,peer_brand,peer_reference_code,peer_product_name,peer_family,peer_bag_type,peer_material_group,peer_size_label,peer_dimensions_cm,peer_dimension_signature_cm,axis_diff_cm,axis_tolerance_cm,same_market_date,same_bag_type,same_material,dimension_match,chanel_regular_special,peer_regular_special,chanel_core_family_count,peer_core_family_count,decision_status,block_reason,chanel_source_url,peer_source_url
W3-PAIR-AS3260-B19059-94305-Louis_Vuitton-M2A467,2026-09-08,US,AS3260-B19059-94305,CHANEL 22 Small Handbag,CHANEL 22,hobo,leather,small,35.1 x 37.1 x 7.1 cm,37.1 x 35.1 x 7.1 cm,Louis Vuitton,M2A467,Neverfull Inside Out BB,Neverfull,tote,leather,BB,26.4 x 16.5 x 10.9 cm,26.4 x 16.5 x 10.9 cm,10.7 x 18.6 x 3.8 cm,3.7 x 3.5 x 2 cm,TRUE,FALSE,TRUE,FALSE,not_disclosed,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/AS3260B1905994305/chanel-22-small-handbag-shiny-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/neverfull-bandouliere-inside-out-bb-h33-nvprod5770174v/M2A467
W3-PAIR-AS3260-B19059-94305-Louis_Vuitton-M46203,2026-09-08,US,AS3260-B19059-94305,CHANEL 22 Small Handbag,CHANEL 22,hobo,leather,small,35.1 x 37.1 x 7.1 cm,37.1 x 35.1 x 7.1 cm,Louis Vuitton,M46203,CarryAll PM,CarryAll,tote,textile,PM,29.0 x 23.9 x 11.9 cm,29 x 23.9 x 11.9 cm,8.1 x 11.2 x 4.8 cm,3.7 x 3.5 x 2 cm,TRUE,FALSE,FALSE,FALSE,not_disclosed,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/AS3260B1905994305/chanel-22-small-handbag-shiny-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/carryall-pm-monogram-nvprod3770016v/M46203
W3-PAIR-AS5293-B20304-94305-Hermès-H086717CKAC,2026-09-08,US,AS5293-B20304-94305,CHANEL 25 Small Handbag,CHANEL 25,hobo,leather,small,30.0 x 25.9 x 14.0 cm,30 x 25.9 x 14 cm,Hermès,H086717CKAC,Neo Garden Voyage 41 bag,Neo Garden,tote,mixed_textile_leather,41,41.4 x 30.5 x 23.1 cm,41.4 x 30.5 x 23.1 cm,11.4 x 4.6 x 9.1 cm,4.1 x 3.1 x 2.3 cm,TRUE,FALSE,FALSE,FALSE,not_disclosed,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://www.hermes.com/us/en/product/neo-garden-voyage-41-bag-H086717CKAC/
W3-PAIR-AS5293-B20304-94305-Hermès-H089099CAAA,2026-09-08,US,AS5293-B20304-94305,CHANEL 25 Small Handbag,CHANEL 25,hobo,leather,small,30.0 x 25.9 x 14.0 cm,30 x 25.9 x 14 cm,Hermès,H089099CAAA,Neo Double Sens 35 bicolor bag,Neo Double Sens,tote,leather,35,27.9 x 35.1 x 9.4 cm,35.1 x 27.9 x 9.4 cm,5.1 x 2 x 4.6 cm,3.5 x 2.8 x 2 cm,TRUE,FALSE,TRUE,FALSE,not_disclosed,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://www.hermes.com/us/en/product/neo-double-sens-35-bicolor-bag-H089099CAAA/
W3-PAIR-AS5293-B20304-94305-Hermès-H085054CK37,2026-09-08,US,AS5293-B20304-94305,CHANEL 25 Small Handbag,CHANEL 25,hobo,leather,small,30.0 x 25.9 x 14.0 cm,30 x 25.9 x 14 cm,Hermès,H085054CK37,So Medor bag,So Medor,shoulder,leather,unknown,19.1 x 22.1 x 20.1 cm,22.1 x 20.1 x 19.1 cm,7.9 x 5.8 x 5.1 cm,3 x 2.6 x 2 cm,TRUE,FALSE,TRUE,FALSE,not_disclosed,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://www.hermes.com/us/en/product/so-medor-bag-H085054CK37/
W3-PAIR-AS5293-B20304-94305-Louis_Vuitton-M2A323,2026-09-08,US,AS5293-B20304-94305,CHANEL 25 Small Handbag,CHANEL 25,hobo,leather,small,30.0 x 25.9 x 14.0 cm,30 x 25.9 x 14 cm,Louis Vuitton,M2A323,Low Key Hobo PM,Hobo,hobo,leather,PM,23.9 x 27.9 x 16.0 cm,27.9 x 23.9 x 16 cm,2.1 x 2 x 2 cm,3 x 2.6 x 2 cm,TRUE,TRUE,TRUE,TRUE,not_disclosed,not_disclosed,2,1,directional_dimension_candidate,blocked_regular_special_undisclosed;blocked_sample_insufficient,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/low-key-hobo-pm-h31-nvprod5580029v/M2A323
W3-PAIR-AS5293-B20304-94305-Louis_Vuitton-M2A467,2026-09-08,US,AS5293-B20304-94305,CHANEL 25 Small Handbag,CHANEL 25,hobo,leather,small,30.0 x 25.9 x 14.0 cm,30 x 25.9 x 14 cm,Louis Vuitton,M2A467,Neverfull Inside Out BB,Neverfull,tote,leather,BB,26.4 x 16.5 x 10.9 cm,26.4 x 16.5 x 10.9 cm,3.6 x 9.4 x 3.1 cm,3 x 2.6 x 2 cm,TRUE,FALSE,TRUE,FALSE,not_disclosed,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/neverfull-bandouliere-inside-out-bb-h33-nvprod5770174v/M2A467
W3-PAIR-AS5293-B20304-94305-Louis_Vuitton-M46203,2026-09-08,US,AS5293-B20304-94305,CHANEL 25 Small Handbag,CHANEL 25,hobo,leather,small,30.0 x 25.9 x 14.0 cm,30 x 25.9 x 14 cm,Louis Vuitton,M46203,CarryAll PM,CarryAll,tote,textile,PM,29.0 x 23.9 x 11.9 cm,29 x 23.9 x 11.9 cm,1 x 2 x 2.1 cm,3 x 2.6 x 2 cm,TRUE,FALSE,FALSE,FALSE,not_disclosed,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/AS5293B2030494305/chanel-25-small-handbag-grained-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/carryall-pm-monogram-nvprod3770016v/M46203
W3-PAIR-AS6288-B24248-94305-Hermès-H086717CKAC,2026-09-08,US,AS6288-B24248-94305,Small Shopping Bag,Shopping,tote,leather,small,15.0 x 32.0 x 11.4 cm,32 x 15 x 11.4 cm,Hermès,H086717CKAC,Neo Garden Voyage 41 bag,Neo Garden,tote,mixed_textile_leather,41,41.4 x 30.5 x 23.1 cm,41.4 x 30.5 x 23.1 cm,9.4 x 15.5 x 11.7 cm,4.1 x 3.1 x 2.3 cm,TRUE,TRUE,FALSE,FALSE,seasonal_collection,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/AS6288B2424894305/small-shopping-bag-grained-calfskin-gold-tone-metal/,https://www.hermes.com/us/en/product/neo-garden-voyage-41-bag-H086717CKAC/
W3-PAIR-AS6288-B24248-94305-Hermès-H089099CAAA,2026-09-08,US,AS6288-B24248-94305,Small Shopping Bag,Shopping,tote,leather,small,15.0 x 32.0 x 11.4 cm,32 x 15 x 11.4 cm,Hermès,H089099CAAA,Neo Double Sens 35 bicolor bag,Neo Double Sens,tote,leather,35,27.9 x 35.1 x 9.4 cm,35.1 x 27.9 x 9.4 cm,3.1 x 12.9 x 2 cm,3.5 x 2.8 x 2 cm,TRUE,TRUE,TRUE,FALSE,seasonal_collection,not_disclosed,0,0,not_a_dimension_intersection,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS6288B2424894305/small-shopping-bag-grained-calfskin-gold-tone-metal/,https://www.hermes.com/us/en/product/neo-double-sens-35-bicolor-bag-H089099CAAA/
W3-PAIR-AS6288-B24248-94305-Hermès-H085054CK37,2026-09-08,US,AS6288-B24248-94305,Small Shopping Bag,Shopping,tote,leather,small,15.0 x 32.0 x 11.4 cm,32 x 15 x 11.4 cm,Hermès,H085054CK37,So Medor bag,So Medor,shoulder,leather,unknown,19.1 x 22.1 x 20.1 cm,22.1 x 20.1 x 19.1 cm,9.9 x 5.1 x 7.7 cm,3.2 x 2 x 2 cm,TRUE,FALSE,TRUE,FALSE,seasonal_collection,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/AS6288B2424894305/small-shopping-bag-grained-calfskin-gold-tone-metal/,https://www.hermes.com/us/en/product/so-medor-bag-H085054CK37/
W3-PAIR-AS6288-B24248-94305-Louis_Vuitton-M2A323,2026-09-08,US,AS6288-B24248-94305,Small Shopping Bag,Shopping,tote,leather,small,15.0 x 32.0 x 11.4 cm,32 x 15 x 11.4 cm,Louis Vuitton,M2A323,Low Key Hobo PM,Hobo,hobo,leather,PM,23.9 x 27.9 x 16.0 cm,27.9 x 23.9 x 16 cm,4.1 x 8.9 x 4.6 cm,3.2 x 2.4 x 2 cm,TRUE,FALSE,TRUE,FALSE,seasonal_collection,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/AS6288B2424894305/small-shopping-bag-grained-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/low-key-hobo-pm-h31-nvprod5580029v/M2A323
W3-PAIR-AS6288-B24248-94305-Louis_Vuitton-M2A467,2026-09-08,US,AS6288-B24248-94305,Small Shopping Bag,Shopping,tote,leather,small,15.0 x 32.0 x 11.4 cm,32 x 15 x 11.4 cm,Louis Vuitton,M2A467,Neverfull Inside Out BB,Neverfull,tote,leather,BB,26.4 x 16.5 x 10.9 cm,26.4 x 16.5 x 10.9 cm,5.6 x 1.5 x 0.5 cm,3.2 x 2 x 2 cm,TRUE,TRUE,TRUE,FALSE,seasonal_collection,not_disclosed,0,0,not_a_dimension_intersection,blocked_dimension_mismatch,https://www.chanel.com/us/fashion/p/AS6288B2424894305/small-shopping-bag-grained-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/neverfull-bandouliere-inside-out-bb-h33-nvprod5770174v/M2A467
W3-PAIR-AS6288-B24248-94305-Louis_Vuitton-M46203,2026-09-08,US,AS6288-B24248-94305,Small Shopping Bag,Shopping,tote,leather,small,15.0 x 32.0 x 11.4 cm,32 x 15 x 11.4 cm,Louis Vuitton,M46203,CarryAll PM,CarryAll,tote,textile,PM,29.0 x 23.9 x 11.9 cm,29 x 23.9 x 11.9 cm,3 x 8.9 x 0.5 cm,3.2 x 2.4 x 2 cm,TRUE,TRUE,FALSE,FALSE,seasonal_collection,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/AS6288B2424894305/small-shopping-bag-grained-calfskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/carryall-pm-monogram-nvprod3770016v/M46203
W3-PAIR-A01113-Y04059-UB639-Hermès-H086717CKAC,2026-09-08,US,A01113-Y04059-UB639,Small Classic Handbag,Classic,flap,leather,small,14.5 x 23.1 x 6.1 cm,23.1 x 14.5 x 6.1 cm,Hermès,H086717CKAC,Neo Garden Voyage 41 bag,Neo Garden,tote,mixed_textile_leather,41,41.4 x 30.5 x 23.1 cm,41.4 x 30.5 x 23.1 cm,18.3 x 16 x 17 cm,4.1 x 3.1 x 2.3 cm,TRUE,FALSE,FALSE,FALSE,seasonal_collection,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/A01113Y04059UB639/small-classic-handbag-lambskin-gold-tone-metal/,https://www.hermes.com/us/en/product/neo-garden-voyage-41-bag-H086717CKAC/
W3-PAIR-A01113-Y04059-UB639-Hermès-H089099CAAA,2026-09-08,US,A01113-Y04059-UB639,Small Classic Handbag,Classic,flap,leather,small,14.5 x 23.1 x 6.1 cm,23.1 x 14.5 x 6.1 cm,Hermès,H089099CAAA,Neo Double Sens 35 bicolor bag,Neo Double Sens,tote,leather,35,27.9 x 35.1 x 9.4 cm,35.1 x 27.9 x 9.4 cm,12 x 13.4 x 3.3 cm,3.5 x 2.8 x 2 cm,TRUE,FALSE,TRUE,FALSE,seasonal_collection,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/A01113Y04059UB639/small-classic-handbag-lambskin-gold-tone-metal/,https://www.hermes.com/us/en/product/neo-double-sens-35-bicolor-bag-H089099CAAA/
W3-PAIR-A01113-Y04059-UB639-Hermès-H085054CK37,2026-09-08,US,A01113-Y04059-UB639,Small Classic Handbag,Classic,flap,leather,small,14.5 x 23.1 x 6.1 cm,23.1 x 14.5 x 6.1 cm,Hermès,H085054CK37,So Medor bag,So Medor,shoulder,leather,unknown,19.1 x 22.1 x 20.1 cm,22.1 x 20.1 x 19.1 cm,1 x 5.6 x 13 cm,2.3 x 2 x 2 cm,TRUE,FALSE,TRUE,FALSE,seasonal_collection,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/A01113Y04059UB639/small-classic-handbag-lambskin-gold-tone-metal/,https://www.hermes.com/us/en/product/so-medor-bag-H085054CK37/
W3-PAIR-A01113-Y04059-UB639-Louis_Vuitton-M2A323,2026-09-08,US,A01113-Y04059-UB639,Small Classic Handbag,Classic,flap,leather,small,14.5 x 23.1 x 6.1 cm,23.1 x 14.5 x 6.1 cm,Louis Vuitton,M2A323,Low Key Hobo PM,Hobo,hobo,leather,PM,23.9 x 27.9 x 16.0 cm,27.9 x 23.9 x 16 cm,4.8 x 9.4 x 9.9 cm,2.8 x 2.4 x 2 cm,TRUE,FALSE,TRUE,FALSE,seasonal_collection,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/A01113Y04059UB639/small-classic-handbag-lambskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/low-key-hobo-pm-h31-nvprod5580029v/M2A323
W3-PAIR-A01113-Y04059-UB639-Louis_Vuitton-M2A467,2026-09-08,US,A01113-Y04059-UB639,Small Classic Handbag,Classic,flap,leather,small,14.5 x 23.1 x 6.1 cm,23.1 x 14.5 x 6.1 cm,Louis Vuitton,M2A467,Neverfull Inside Out BB,Neverfull,tote,leather,BB,26.4 x 16.5 x 10.9 cm,26.4 x 16.5 x 10.9 cm,3.3 x 2 x 4.8 cm,2.6 x 2 x 2 cm,TRUE,FALSE,TRUE,FALSE,seasonal_collection,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/A01113Y04059UB639/small-classic-handbag-lambskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/neverfull-bandouliere-inside-out-bb-h33-nvprod5770174v/M2A467
W3-PAIR-A01113-Y04059-UB639-Louis_Vuitton-M46203,2026-09-08,US,A01113-Y04059-UB639,Small Classic Handbag,Classic,flap,leather,small,14.5 x 23.1 x 6.1 cm,23.1 x 14.5 x 6.1 cm,Louis Vuitton,M46203,CarryAll PM,CarryAll,tote,textile,PM,29.0 x 23.9 x 11.9 cm,29 x 23.9 x 11.9 cm,5.9 x 9.4 x 5.8 cm,2.9 x 2.4 x 2 cm,TRUE,FALSE,FALSE,FALSE,seasonal_collection,not_disclosed,0,0,not_a_dimension_intersection,blocked_bag_type_or_material_mismatch,https://www.chanel.com/us/fashion/p/A01113Y04059UB639/small-classic-handbag-lambskin-gold-tone-metal/,https://us.louisvuitton.com/eng-us/products/carryall-pm-monogram-nvprod3770016v/M46203
